,x,lp,Nr,Ulica,Obiekt,NrZabytków,Dlugosc,Szerokosc,,,
,1,"Grodzisko/ 3 MAJA, Dąbrowskiego",14,"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzydło Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia",474,,,,, 
,3930,OLSZEWSKIEGO Karola,19,kolonia domów robotniczych Fundacji dr Abegga,961,,,,,
,3931,OLSZEWSKIEGO Karola,20,kolonia domów robotniczych Fundacji dr Abegga,961,,,,,
,3932,OLSZEWSKIEGO Karola,21/22,kolonia domów robotniczych Fundacji dr Abegga,961,,,,,
,3933,OLSZEWSKIEGO Karola,23/24,kolonia domów robotniczych Fundacji dr Abegga,961,,,,,
,3934,OLSZEWSKIEGO Karola,31,kolonia domów robotniczych Fundacji dr Abegga,961,,,,,
,3935,OLSZYŃSKA,37,dwór ,767,,,,,
,3936,OLSZYŃSKA,37,budynki gospodarcze przy dworze,,,,,,
,3937,OŁOWIANKA,01,"zespół  elektrowni ""Ołowianka"" (budynek główny ob. Filharmonia, budynek socjalny), ",529,,,,,
,3938,OŁOWIANKA,01 A,budynek mieszkalny ,529,,,,,
,3939,OŁOWIANKA,01 B C,budynek mieszkalny ,529,,,,,
,3940,OŁOWIANKA,09-13,"zespół spichlerzy : Oliwski, Panna, Miedź-obecnie Centralne Muzeum Morskie",479,,,,,
,3941,OŁOWIANKA,14,"spichlerz ""Królewski""  ob..hotel (d. zespół elektrowni)",529,,,,,
,3942,OPACKA,3,dom,,,,,,
,3943,OPACKA,5,dom ob.. Dom zakonny oo franciszkanów,,,,,,
,3944,OPACKA,7,bud. szkoły,,,,,,
,3945,OPACKA,9,"pastorówka, ob.. Dom mieszkalny",,,,,,
,3946,OPACKA,10,zespół pocysterski: d. stajnia,64,,,,,
,3947,OPACKA,11,dom,,,,,,
,3948,OPACKA,12,"tzw. dworek Saltzmanna, obecnie siedziba DORACO",13,,,,,
,3949,OPACKA,12 A,bud. gospodarczy przy dworku,,,,,,
,3950,OPACKA,,"cmentarz (katolicki i ewangelicki): kaplica przedpogrzebowa, kostnica",1079,,,,,
,3951,OWSIANA,1,budynek mieszkalny,,,,,,
,3952,OWSIANA,1A,budynek mieszkalny,,,,,,
,3953,OWSIANA,2,budynek mieszkalny,,,,,,
,3954,OWSIANA,3,budynek mieszkalny,,,,,,
,3955,RYBIŃSKIEGO Opata Jacka,,"park im. A. Mickiewicza, d. opacki",64,,,,,
,3956,RYBIŃSKIEGO Opata Jacka,,palmiarnia,64,,,,,
,3957,RYBIŃSKIEGO Opata Jacka,6,dom,,,,,,
,3958,RYBIŃSKIEGO Opata Jacka,7,dom,,,,,,
,3959,RYBIŃSKIEGO Opata Jacka,12,dom,,,,,,
,3960,RYBIŃSKIEGO Opata Jacka,17,dom,,,,,,
,3961,RYBIŃSKIEGO Opata Jacka,18,dom,,,,,,
,3962,RYBIŃSKIEGO Opata Jacka,22,dom,,,,,,
,3963,RYBIŃSKIEGO Opata Jacka,25,dom,,,,,,
,3964,OPŁOTKI,18,dom,,,,,,
,3965,OPŁOTKI,22,dom,,,,,,
,3966,OPŁYW MOTŁAWY,,"zespół Bastionów Dolnego Miasta - tzw. Opływ Motławy / Bastion św Gertrudy, Żubr, Wilk, Wyskok, Miś, Królik/",419,,,,,
,3967,ORKANA Władysława,1,dom,,,,,,
,3968,ORKANA Władysława,3,dom,,,,,,
,3969,ORKANA Władysława,4,dom,,,,,,
,3970,ORKANA Władysława,7,dom,,,,,,
,3971,ORKANA Władysława,9,dom,,,,,,
,3972,ORKANA Władysława,10/11,dom,,,,,,
,3973,ORLA,1A,budynek mieszkalny ,,,,,,
,3974,ORLA,1B,budynek mieszkalny ,,,,,,
,3975,ORNITOLOGÓW,04,zespół tzw. Forsterówki: drugi budynek,,,,,,
,3976,ORNITOLOGÓW,07,zespół tzw. Forsterówki: domek myśliwski,,,,,,
,3977,ORNITOLOGÓW,11 B,dom,,,,,,
,3978,ORNITOLOGÓW,12,drugi budynek,,,,,,
,3979,ORNITOLOGÓW,12 A,mur między budynkami,,,,,,
,3980,ORNITOLOGÓW,14,dom,,,,,,
,3981,ORNITOLOGÓW,14 ,budynek gospodarczy,,,,,,
,3982,ORNITOLOGÓW,16,dom,,,,,,
,3983,ORNITOLOGÓW,16,budynek gospodarczy,,,,,,
,3984,ORNITOLOGÓW,26,"dworzec hydroplanów, ob.. Stacja biologii UG",,,,,,
,3985,ORNITOLOGÓW,28,dom,,,,,,
,3986,ORNITOLOGÓW,28 A,budynek gospodarczy,,,,,,
,3987,ORNITOLOGÓW,30,dom,,,,,,
,3988,ORNITOLOGÓW,30,budynek gospodarczy,,,,,,
,3989,ORZESZKOWEJ Elizy,2,dom,,,,,,
,3990,ORZESZKOWEJ Elizy,3,dom,,,,,,
,3991,ORZESZKOWEJ Elizy,3 A,dom,,,,,,
,3992,ORZESZKOWEJ Elizy,5 A,dom,,,,,,
,3993,ORZESZKOWEJ Elizy,7,dom,,,,,,
,3994,ORZESZKOWEJ Elizy,9,dom,,,,,,
,3995,ORZESZKOWEJ Elizy,11,dom,,,,,,
,3996,ORZESZKOWEJ Elizy,15,dom,,,,,,
,3997,ORZESZKOWEJ Elizy,17,dom,,,,,,
,3998,ORZESZKOWEJ Elizy,19,dom,,,,,,
,3999,ORZESZKOWEJ Elizy,23,dom,,,,,,
,4000,OSIEK,6,kamienica,,,,,,
,4001,OSIEK,7,kamienica,,,,,,
,4002,OSIEK,8,kamienica,,,,,,
,4003,OSIEK,9,kamienica,,,,,,
,4004,OSIEK,10,kamienica,,,,,,
,4005,OSIEK,11,łaźnia z sala gimnastyczną ob. Liceum Autonomiczne ,,,,,,
,4006,OSIEK,12,gimnazjum i Liceum Autonomiczne,,,,,,
,4007,OSIEK,12,"gimnazjum i Liceum Autonomiczne, drugi budynek",,,,,,
,4008,OSIEK,19-20,kamienica,,,,,,
,4009,OTWARTA,10/12,dom w zespole,,,,,,
,4010,OTWARTA,13/15,dom w zespole,,,,,,
,4011,OTWARTA,30,dom w zespole,,,,,,
,4012,OTWARTA,32,dom w zespole,,,,,,
,4013,OTWARTA,34,dom w zespole,,,,,,
,4014,OTWARTA,36,dom w zespole,,,,,,
,4015,OWCZARNIA,38,układ siedliska folwarku,,,,,,
,4016,OWCZARNIA,39,starodrzew,,,,,,
,4017,OWCZARNIA,40,"fragment d. domeny folwarku Owczarnia, starodrzew",,,,,,
,4018,OWCZARNIA,51,d. budynek straży granicznej,,,,,,
,4019,OWCZARNIA,51 k.,budynek gospodarczy,,,,,,
,4020,OWCZARNIA,53,leśniczówka,,,,,,
,4021,OWCZARNIA,53,budynek gospodarczy leśniczówki,,,,,,
,4022,OWCZARNIA,53 k.,2 budynek gospodarczy leśniczówki,,,,,,
,4023,OWCZARNIA,61-63,dom,,,,,,
,4024,OWCZARNIA,61-65,d. stajnia,,,,,,
,4025,OWCZARNIA,67,dom,,,,,,
,4026,OWCZARNIA,77,dom,,,,,,
,4027,OWCZARNIA,79,dom,,,,,,
,4028,OWCZARNIA,79-81,dom,,,,,,
,4029,OWCZARNIA,81 k.,dom,,,,,,
,4030,OWCZARNIA,83,dom,,,,,,
,4031,PACHOŁÓW,1,dom,,,,,,
,4032,PANA TADEUSZA ,13,dom,,,,,,
,4033,PANA TADEUSZA ,23,dom,,,,,,
,4034,PANA TADEUSZA ,25,dom,,,,,,
,4035,PANA TADEUSZA ,27,dom,,,,,,
,4036,PANA TADEUSZA ,32,dom,,,,,,
,4037,PANA TADEUSZA ,47,dom,,,,,,
,4038,PANA TADEUSZA ,51,dom,,,,,,
,4039,PANA TADEUSZA ,51,budynek gospodarczy,,,,,,
,4040,PANA TADEUSZA ,84,dom,,,,,,
,4041,PANA TADEUSZA ,88,dom,,,,,,
,4042,PANA TADEUSZA ,90,dom,,,,,,
,4043,PANA TADEUSZA ,90,dom,,,,,,
,4044,PANA TADEUSZA ,92,dom,,,,,,
,4045,PANA TADEUSZA ,96,dom,,,,,,
,4046,PANA TADEUSZA ,104,dom,,,,,,
,4047,PANA TADEUSZA ,108,dom,,,,,,
,4048,PANA TADEUSZA ,114,dom,,,,,,
,4049,PANA TADEUSZA ,118/120,dom,,,,,,
,4050,PANA TADEUSZA ,124,dom,,,,,,
,4051,PANA TADEUSZA ,126,dom,,,,,,
,4052,PANA TADEUSZA ,128,dom,,,,,,
,4053,PANA TADEUSZA ,130,dom,,,,,,
,4054,PANA TADEUSZA ,134,bud. gosp.,,,,,,
,4055,PANA TADEUSZA ,134,dom,,,,,,
,4056,PANIEŃSKA,3 A,dom,,,,,,
,4057,PANIEŃSKA,22,dom,,,,,,
,4058,PANIEŃSKA,23 k.,bud. gosp./garaż,,,,,,
,4059,PANIEŃSKA,23-24,dom,,,,,,
,4060,PANIEŃSKA,30,dom,,,,,,
,4061,PAŃSKA,1,baszta Jacek,420,,,,,
,4062,PAŃSKA,2,dom,,,,,,
,4063,PAŃSKA,3,dom,,,,,,
,4064,PAŃSKA,4,dom,,,,,,
,4065,PAŃSKA,5,dom,,,,,,
,4066,PAŃSKA,6,dom,,,,,,
,4067,PAŃSKA,7 (7/8),dom,,,,,,
,4068,PAŃSKA,9/11,dom,,,,,,
,4069,PAŃSKA,1,dom,,,,,,
,4070,PARTYZANTÓW,025,dom,,,,,,
,4071,PARTYZANTÓW,6,d. zajezdnia tramwajowa,,,,,,
,4072,PARTYZANTÓW,7,synagoga,1142,,,,,
,4073,PARTYZANTÓW,11B,dom,,,,,,
,4074,PARTYZANTÓW,13B,dom,,,,,,
,4075,PARTYZANTÓW,13C,dom,,,,,,
,4076,PARTYZANTÓW,15,dom,,,,,,
,4077,PARTYZANTÓW,17A,dom,,,,,,
,4078,PARTYZANTÓW,17B,dom,,,,,,
,4079,PARTYZANTÓW,19,dom,,,,,,
,4080,PARTYZANTÓW,20,dom,,,,,,
,4081,PARTYZANTÓW,21,dom,,,,,,
,4082,PARTYZANTÓW,25,dom,,,,,,
,4083,PARTYZANTÓW,28B,dom,,,,,,
,4084,PARTYZANTÓW,28C,dom,,,,,,
,4085,PARTYZANTÓW,29,dom,,,,,,
,4086,PARTYZANTÓW,33,dom,,,,,,
,4087,PARTYZANTÓW,36A,dom,,,,,,
,4088,PARTYZANTÓW,36B,dom,,,,,,
,4089,PARTYZANTÓW,36C,dom,,,,,,
,4090,PARTYZANTÓW,38,dom,,,,,,
,4091,PARTYZANTÓW,43,dom,,,,,,
,4092,PARTYZANTÓW,49B,dom,,,,,,
,4093,PARTYZANTÓW,51,dom,,,,,,
,4094,PARTYZANTÓW,52,dom,,,,,,
,4095,PARTYZANTÓW,53,dom,,,,,,
,4096,PARTYZANTÓW,54,dom,,,,,,
,4097,PARTYZANTÓW,55,dom,,,,,,
,4098,PARTYZANTÓW,56/58,dom,,,,,,
,4099,PARTYZANTÓW,57,dom,,,,,,
,4100,PARTYZANTÓW,58 B,dom,,,,,,
,4101,PARTYZANTÓW,59,dom,,,,,,
,4102,PARTYZANTÓW,60 A,dom,,,,,,
,4103,PARTYZANTÓW,60 B,dom,,,,,,
,4104,PARTYZANTÓW,62,dom,,,,,,
,4105,PARTYZANTÓW,68,dom,,,,,,
,4106,PASKA Jana Chryzostoma   ,1/2/3/4/5,dom,,,,,,
,4107,PASKA Jana Chryzostoma   ,6/7/8/9,dom,,,,,,
,4108,PASTORIUSZA Joachima,1,dom w zespole,,,,,,
,4109,PASTORIUSZA Joachima,2,dom w zespole,,,,,,
,4110,PASTORIUSZA Joachima,3,dom w zespole,,,,,,
,4111,PASTORIUSZA Joachima,4,dom w zespole,,,,,,
,4112,PASTORIUSZA Joachima,5,dom w zespole,,,,,,
,4113,PASTORIUSZA Joachima,6,dom w zespole,,,,,,
,4114,PASTORIUSZA Joachima,7,dom w zespole,,,,,,
,4115,PAWŁOWSKIEGO Stanisława,1A,dom,,,,,,
,4116,PAWŁOWSKIEGO Stanisława,2,dom,,,,,,
,4117,PAWŁOWSKIEGO Stanisława,3,dom,,,,,,
,4118,PAWŁOWSKIEGO Stanisława,4,dom,,,,,,
,4119,PAWŁOWSKIEGO Stanisława,5,dom,,,,,,
,4120,PELPLIŃSKA,1,dom,,,,,,
,4121,PELPLIŃSKA,2,dom,,,,,,
,4122,PELPLIŃSKA,3,dom,,,,,,
,4123,PELPLIŃSKA,4,dom,,,,,,
,4124,PELPLIŃSKA,4,dom,,,,,,
,4125,PELPLIŃSKA,5,dom,,,,,,
,4126,PELPLIŃSKA,6,dom,,,,,,
,4127,PESTALOZZIEGO Jana,1-5,dom,,,,,,
,4128,PESTALOZZIEGO Jana,2-18,dom,,,,,,
,4129,PESTALOZZIEGO Jana,7/9/11/13,zespół budynków szkoły,,,,,,
,4130,PESTALOZZIEGO Jana,15-19,dom,,,,,,
,4131,PESTALOZZIEGO Jana,24-36,dom,,,,,,
,4132,PIASTOWSKA,3,dom,,,,,,
,4133,PIASTOWSKA,04,dom,,,,,,
,4134,PIASTOWSKA,5,dom,,,,,,
,4135,PIASTOWSKA,06,dom,,,,,,
,4136,PIASTOWSKA,07,dom,,,,,,
,4137,PIASTOWSKA,8,dom,,,,,,
,4138,PIASTOWSKA,15A,dom,,,,,,
,4139,PIASTOWSKA,20,dom,,,,,,
,4140,PIASTOWSKA,22,dom,,,,,,
,4141,PIASTOWSKA,23,dom,,,,,,
,4142,PIASTOWSKA,24,dom,,,,,,
,4143,PIASTOWSKA,25,dom,,,,,,
,4144,PIASTOWSKA,26,dom,,,,,,
,4145,PIASTOWSKA,28,dom,,,,,,
,4146,PIASTOWSKA,29,d. magazyn,,,,,,
,4147,PIASTOWSKA,31,warsztat,,,,,,
,4148,PIASTOWSKA,33,dom,,,,,,
,4149,PIASTOWSKA,34,dom,,,,,,
,4150,PIASTOWSKA,36,dom,,,,,,
,4151,PIASTOWSKA,38,dom,,,,,,
,4152,PIASTOWSKA,40,dom,,,,,,
,4153,PIASTOWSKA,40k.,dom,,,,,,
,4154,PIASTOWSKA,44,dom,,,,,,
,4155,PIASTOWSKA,46,dom,,,,,,
,4156,PIASTOWSKA,48,dom,,,,,,
,4157,PIESZA ,1 B,dom,,,,,,
,4158,PIECEWSKA,27,zespół dworsko- pałacowy(dwór park altana),1015,,,,,
,4159,PILECKIEGO Szczepana,3,dom,,,,,,
,4160,PILECKIEGO Szczepana,4,dom,,,,,,
,4161,PILECKIEGO Szczepana,6,wiadukt,,,,,,
,4162,PILECKIEGO Szczepana,7,willa z działką,1873,,,,,
,4163,PILECKIEGO Szczepana,8,dom,,,,,,
,4164,PIRAMOWICZA Grzegorza,1/2,"budynek szkoły ""Conradinum"" z fragmentem ogrodzenia",1700,,,,,
,4165,PIRAMOWICZA Grzegorza,1/2,bursa szkolna,1700,,,,,
,4166,PIRAMOWICZA Grzegorza,1/2,sala gimnastyczna,1700,,,,,
,4167,PIRAMOWICZA Grzegorza,1/2,sanitariaty,1700,,,,,
,4168,PIRAMOWICZA Grzegorza,3,dom,,,,,,
,4169,PIWNA,1 (1/2),"kamienica, tzw..Dom Schlütera, ob..Dom Rzemiosła ",424,,,,,
,4170,PIWNA,3 (3/4),kamienica,,,,,,
,4171,PIWNA,4 (3/4),kamienica,,,,,,
,4172,PIWNA,5 (5/6),kamienica,,,,,,
,4173,PIWNA,6 (5/6),kamienica,,,,,,
,4174,PIWNA,7 (7/8),kamienica,,,,,,
,4175,PIWNA,8 (7/8),kamienica,,,,,,
,4176,PIWNA,9 (9/10),kamienica,,,,,,
,4177,PIWNA,10 (9/10),kamienica,,,,,,
,4178,PIWNA,11 (11/12),kamienica,,,,,,
,4179,PIWNA,12 (11/12),kamienica,742,,,,,
,4180,PIWNA,13,kamienica,,,,,,
,4181,PIWNA,14 (14/15),kamienica,,,,,,
,4182,PIWNA,15 (14/15),kamienica,743,,,,,
,4183,PIWNA,16,kamienica. ,744,,,,,
,4184,PIWNA,17 (17/18),kamienica,,,,,,
,4185,PIWNA,18 (17/18),kamienica,,,,,,
,4186,PIWNA,19 (19/21),kamienica,,,,,,
,4187,PIWNA,20 (19/21),kamienica,,,,,,
,4188,PIWNA,21 (19/21),kamienica,,,,,,
,4189,PIWNA,22 (22/23),kamienica,745,,,,,
,4190,PIWNA,23 (22/23),kamienica,,,,,,
,4191,PIWNA,23 (22/23),kamienica,,,,,,
,4192,PIWNA,24,kamienica,,,,,,
,4193,PIWNA,25 (25/26),kamienica,,,,,,
,4194,PIWNA,26 (25/26),kamienica,,,,,,
,4195,PIWNA,27 (27/29),kamienica,,,,,,
,4196,PIWNA,27 (27/29) ,kamienica,,,,,,
,4197,PIWNA,30 (28/31),kamienica,,,,,,
,4198,PIWNA,31 (28/31),kamienica,,,,,,
,4199,PIWNA,29 (28/31),kamienica,,,,,,
,4200,PIWNA,15 (28/31),kamienica,,,,,,
,4201,PIWNA,14 (28/31),kamienica,,,,,,
,4202,PIWNA,28 (28/31),kamienica,,,,,,
,4203,PIWNA,33 (32/35),kamienica,,,,,,
,4204,PIWNA,34 (32/35),kamienica,,,,,,
,4205,PIWNA,35 (32/35),kamienica,,,,,,
,4206,PIWNA,35 (32/35),kamienica,,,,,,
,4207,PIWNA,36 (36/39),kamienica,,,,,,
,4208,PIWNA,37 (36/39),kamienica,,,,,,
,4209,PIWNA,38 (36/39),kamienica,,,,,,
,4210,PIWNA,39 (36/39),kamienica,,,,,,
,4211,PIWNA,47,kamienica,,,,,,
,4212,PIWNA,47,kamienica,,,,,,
,4213,PIWNA,48 (48/49),kamienica,,,,,,
,4214,PIWNA,49 (48/49),kamienica,,,,,,
,4215,PIWNA,50 (50/51),kamienica,,,,,,
,4216,PIWNA,51 (50/51),kamienica,746,,,,,
,4217,PIWNA,52 (52/53),kamienica,747,,,,,
,4218,PIWNA,53 (52/53),kamienica,,,,,,
,4219,PIWNA,54 (54/55),kamienica,748,,,,,
,4220,PIWNA,55 (54/55),kamienica,749,,,,,
,4221,PIWNA,56 (56/57),kamienica,,,,,,
,4222,PIWNA,57 (56/57) ,kamienica,750,,,,,
,4223,PIWNA,58,kamienica,,,,,,
,4224,PIWNA,59 (59/60),kamienica,751,,,,,
,4225,PIWNA,60 (59/60),kamienica,752,,,,,
,4226,PIWNA,61 (61/63),kamienica,753,,,,,
,4227,PIWNA,62 (61/63,kamienica,,,,,,
,4228,PIWNA,63 (61/63),kamienica,754,,,,,
,4229,PIWNA,64 (64/65),kamienica,755,,,,,
,4230,PIWNA,65 (64/65),kamienica,,,,,,
,4231,PIWNA,66,kamienica,756,,,,,
,4232,PIWNA,67 (67/68),kamienica,,,,,,
,4233,PIWNA,68 (67/68),kamienica,,,,,,
,4234,PLAC DOMINIKAŃSKI,1,Hala Targowa,1230,,,,,
,4235,PLAC DWORCOWY,1,budynek dworca w Oliwie,,,,,,
,4236,PLAC DWORCOWY,1 k.,magazyn,,,,,,
,4237,PLAC DWORCOWY,bn,wiata,,,,,,
,4238,PLAC DWORCOWY,bn,budynek I na peronie,,,,,,
,4239,PLAC DWORCOWY,bn,budynek II na peronie,,,,,,
,4240,PLAC DWORCOWY,bn,budynek toalet,,,,,,
,4241,PLAC DWORCOWY,3,dom,,,,,,
,4242,PLAC DWORCOWY,3,budynek gospodarczy,,,,,,
,4243,PLAC GUSTKOWICZA ks. prałata Jana  ,1,dom,,,,,,
,4244,PLAC GUSTKOWICZA ks. prałata Jana  ,2,dom,,,,,,
,4245,PLAC GUSTKOWICZA ks. prałata Jana  ,3,dom,,,,,,
,4246,PLAC GUSTKOWICZA ks. prałata Jana  ,4,dom,,,,,,
,4247,PLAC GUSTKOWICZA ks. prałata Jana  ,5,dom,,,,,,
,4248,PLAC GUSTKOWICZA ks. prałata Jana  ,11,dom,,,,,,
,4249,PLAC GUSTKOWICZA ks. prałata Jana  ,12,dom,,,,,,
,4250,PLAC KOMOROWSKIEGO ks. Bronisława,1 A/B/C,dom,,,,,,
,4251,PLAC OBROŃCÓW POCZTY POLSKIEJ,1-2,"budynek d. lazaretu, nastepnie Poczty Polskiej ",422,,,,,
,4252,PLAC OBROŃCÓW POCZTY POLSKIEJ,,mur d. Domu Poprawy,,,,,,
,4253,PLAC SOLIDARNOŚCI/ DOKI,,"Plac Sollidarnosci z Pomnikiem Poległych Stoczniowców, murem, brama nr 2 Stoczni i tzw. sala BHP",1699,,,,,
,4254,PLAC WAŁOWY,2,dom,,,,,,
,4255,PLAC WAŁOWY,3,dom,,,,,,
,4256,PLAC WAŁOWY,5,dom,,,,,,
,4257,PLAC WAŁOWY,5 A,dom,,,,,,
,4258,PLAC WAŁOWY,6,dom,,,,,,
,4259,PLAC WAŁOWY,7,dom,,,,,,
,4260,PLAC WAŁOWY,9,dom,,,,,,
,4261,PLAC WAŁOWY,10,dom,,,,,,
,4262,PLAC WAŁOWY,11,dom,,,,,,
,4263,PLAC WAŁOWY,12 A,dom,,,,,,
,4264,PLAC WAŁOWY,12 B,dom,,,,,,
,4265,PLAC WAŁOWY,12 C,dom,,,,,,
,4266,PLAC WAŁOWY,13,dom,,,,,,
,4267,PLAC WAŁOWY,14,dom,,,,,,
,4268,PLAC WAŁOWY,1,Zespół Małej Zbrojowni - obecnie ASP,432,,,,,
,4269,PLAC WAŁOWY,15,Laboratorium forteczne - ob.. ASP,432,,,,,
,4270,PLAC WAŁOWY,15 A,Dom Studencki ASP d. internat,,,,,,
,4271,PLAC WYBICKIEGO gen. Józefa,2/4/6/8/10/12/14/16/18/20/22,zespół domów,,,,,,
,4272,PLAC WYBICKIEGO gen. Józefa,1/3/5/7/9/11/13/15/17/19,zespół domów,,,,,,
,4273,PLATER Emilli,2,budynek mieszkalny,,,,,,
,4274,PLATER Emilli,7,budynek mieszkalny,,,,,,
,4275,PLATER Emilli,9,budynek mieszkalny,,,,,,
,4276,PLATER Emilli,11,budynek mieszkalny,,,,,,
,4277,PLATER Emilli,13,budynek mieszkalny,,,,,,
,4278,PLATER Emilli,15/15a/17/19/21/23/23a,budynek mieszkalny,,,,,,
,4279,PLATER Emilli,25/25a/27/29/31/33/33a,budynek mieszkalny,,,,,,
,4280,PLATER Emilli,35/35a,budynek mieszkalny,,,,,,
,4281,PLATER Emilli,37,budynek mieszkalny,,,,,,
,4282,PLEBANIA,7,budynek I plebanii  Bazyliki Mariackiej,124,,,,,
,4283,PLEBANIA,8,budynek  II plebanii Bazyliki Mariackiej,124,,,,,
,4284,PLEBANIA,9,budynek III plebanii Bazyliki MariackiejI ,124,,,,,
,4285,PŁOŃSKA,4,dom,,,,,,
,4286,PŁOŃSKA,24,dom,,,,,,
,4287,PŁOWCE,1/3/5/7/9/11,budynek mieszkalny,,,,,,
,4288,PŁOWCE,2/4/6/8/10/12,budynek mieszkalny,,,,,,
,4289,PŁOWCE,13/15/17/19/21/23,budynek mieszkalny,,,,,,
,4290,PŁOWCE,14/16/18/20/22/24,budynek mieszkalny,,,,,,
,4291,PŁOWCE,25/27/29/31/33/35,budynek mieszkalny,,,,,,
,4292,PŁOWCE,26/28/30/32/34/36,budynki,,,,,,
,4293,PŁOWCE,37/39/41,budynki,,,,,,
,4294,PŁOWCE,38/40/42/44/46/48,budynek mieszkalny,,,,,,
,4295,PŁOWCE,58/60,budynek mieszkalny,,,,,,
,4296,PNIEWSKIEGO Władysława,1,dom,,,,,,
,4297,PNIEWSKIEGO Władysława,2,dom,,,,,,
,4298,PNIEWSKIEGO Władysława,3,d. szkoła ob.. Przedsiebiorstwo Geode.-Kart.,,,,,,
,4299,PNIEWSKIEGO Władysława,3A,d. szkoła ob.. Przedsiebiorstwo Geode.-Kart.,,,,,,
,4300,PNIEWSKIEGO Władysława,3B,oficyna d. szkoły,,,,,,
,4301,PNIEWSKIEGO Władysława,4,dom,,,,,,
,4302,PNIEWSKIEGO Władysława,5,dom,,,,,,
,4303,PNIEWSKIEGO Władysława,6,dom,,,,,,
,4304,PNIEWSKIEGO Władysława,7,dom,,,,,,
,4305,PNIEWSKIEGO Władysława,8,dom,,,,,,
,4306,POBIEDZISKO,3,dom,,,,,,
,4307,POBIEDZISKO,4,dom,,,,,,
,4308,POBIEDZISKO,5,dom,,,,,,
,4309,POBIEDZISKO,6,dom,,,,,,
,4310,POBIEDZISKO,7,dom,,,,,,
,4311,POBIEDZISKO,8,dom (kaplica metodystów?),,,,,,
,4312,POBIEDZISKO,9,dom,,,,,,
,4313,POBIEDZISKO,10,dom,,,,,,
,4314,POBIEDZISKO,12 ,dom,,,,,,
,4315,POBIEDZISKO,12 k.,dom,,,,,,
,4316,POBIEDZISKO,18,dom,,,,,,
,4317,POCZTOWA,1,dom,,,,,,
,4318,POCZTY GDAŃSKIEJ,2,dom,,,,,,
,4319,POCZTY GDAŃSKIEJ,3,dom,,,,,,
,4320,POCZTY GDAŃSKIEJ,3 A,oficyna,,,,,,
,4321,POCZTY GDAŃSKIEJ,4,dom,,,,,,
,4322,POCZTY GDAŃSKIEJ,6,dom,,,,,,
,4323,POCZTY GDAŃSKIEJ,7,willa ,,,,,,
,4324,POCZTY GDAŃSKIEJ,8,dom,,,,,,
,4325,POCZTY GDAŃSKIEJ,9,willa,,,,,,
,4326,POD ZRĘBEM,03,dom,,,,,,
,4327,POD ZRĘBEM,05 B,dom,,,,,,
,4328,POD ZRĘBEM,06,dom,,,,,,
,4329,POD ZRĘBEM,07,dom,,,,,,
,4330,POD ZRĘBEM,08,dom,,,,,,
,4331,POD ZRĘBEM,09,dom,,,,,,
,4332,POD ZRĘBEM,16,dom,,,,,,
,4333,PODHALAŃSKA,1,dom,,,,,,
,4334,PODHALAŃSKA,4,dom,,,,,,
,4335,PODHALAŃSKA,6,dom,,,,,,
,4336,PODHALAŃSKA,7,dom,,,,,,
,4337,PODHALAŃSKA,8,dom,,,,,,
,4338,PODHALAŃSKA,10,dom,,,,,,
,4339,PODHALAŃSKA,11,dom,,,,,,
,4340,PODHALAŃSKA,13,dom,,,,,,
,4341,PODHALAŃSKA,15 A,dom,,,,,,
,4342,PODHALAŃSKA,15 B,budynek gospodarczy,,,,,,
,4343,PODHALAŃSKA,15 C,budynek gospodarczy,,,,,,
,4344,PODHALAŃSKA,15 D,budynek gospodarczy,,,,,,
,4345,PODHALAŃSKA,16,dom,,,,,,
,4346,PODHALAŃSKA,17,dom,,,,,,
,4347,PODHALAŃSKA,18,dom,,,,,,
,4348,PODHALAŃSKA,19,dom,,,,,,
,4349,PODHALAŃSKA,20,dom,,,,,,
,4350,PODHALAŃSKA,21,dom,,,,,,
,4351,PODKRAMARSKA,5,Bazylika Mariacka,124,54.3498348,18.6532847,,,
,4352,PODLEŚNA,2,dom,,,,,,
,4353,PODLEŚNA,3,dom,,,,,,
,4354,PODLEŚNA,4,dom,,,,,,
,4355,PODLEŚNA,5,dom,,,,,,
,4356,PODLEŚNA,7,dom,,,,,,
,4357,PODLEŚNA,9,dom,,,,,,
,4358,PODLEŚNA,10,dom,,,,,,
,4359,PODLEŚNA,11,dom,,,,,,
,4360,PODLEŚNA,12,dom,,,,,,
,4361,PODLEŚNA,13,dom,,,,,,
,4362,PODLEŚNA,14,dom,,,,,,
,4363,PODLEŚNA,15,dom,,,,,,
,4364,PODLEŚNA,17,dom,,,,,,
,4365,PODLEŚNA,18/20,willa,,,,,,
,4366,PODLEŚNA,19,dom,,,,,,
,4367,PODLEŚNA,21,dom,,,,,,
,4368,PODLEŚNA,23,dom,,,,,,
,4369,PODLEŚNA,24,dom,,,,,,
,4370,PODLEŚNA,25,dom,,,,,,
,4371,PODLEŚNA,26,dom,,,,,,
,4372,PODLEŚNA,27,dom,,,,,,
,4373,PODLEŚNA,28,dom,,,,,,
,4374,PODMIEJSKA,8,dom,,,,,,
