,x,lp,Nr,Ulica,Obiekt,NrZabytków,Dlugosc,Szerokosc,,,
,1,"Grodzisko/ 3 MAJA, Dąbrowskiego",14,"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzydło Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia",474,,,,, 
,217,ALEJA WOJSKA POLSKIEGO,46/48/50,zespół zabudowy,,,,,,
,218,ALEJA WOJSKA POLSKIEGO,52/54/56,zespół zabudowy,,,,,,
,219,ALEJA ZWYCIĘSTWA,,Wielka Aleja,411,,,,,
,220,ALEJA ZWYCIĘSTWA,08,dom,,,,,,
,221,ALEJA ZWYCIĘSTWA,16/17,Wojewódzki Sąd Administracyjny,,,,,,
,222,ALEJA ZWYCIĘSTWA,16/17,"drugi budynek, Wojewódzki Sąd Administracyjny",,,,,,
,223,ALEJA ZWYCIĘSTWA,20,kamienica/ przychodnia NZOZ,,,,,,
,224,ALEJA ZWYCIĘSTWA,21,dom ( ob.Wojewódzki Sąd Administracyjny),,,,,,
,225,ALEJA ZWYCIĘSTWA,22,dom,,,,,,
,226,ALEJA ZWYCIĘSTWA,23,dom,,,,,,
,227,ALEJA ZWYCIĘSTWA,24,dom,,,,,,
,228,ALEJA ZWYCIĘSTWA,25,dom,,,,,,
,229,ALEJA ZWYCIĘSTWA,26,willa ,1636,,,,,
,230,ALEJA ZWYCIĘSTWA,27,willa,1634,,,,,
,231,ALEJA ZWYCIĘSTWA,29,dom,,,,,,
,232,ALEJA ZWYCIĘSTWA,33,dom,,,,,,
,233,ALEJA ZWYCIĘSTWA,34,dom,,,,,,
,234,ALEJA ZWYCIĘSTWA,35,dom,,,,,,
,235,ALEJA ZWYCIĘSTWA,36,dom,,,,,,
,236,ALEJA ZWYCIĘSTWA,37,dom,,,,,,
,237,ALEJA ZWYCIĘSTWA,38,dom,,,,,,
,238,ALEJA ZWYCIĘSTWA,38,dom,,,,,,
